REFTYPE,SESSION_IDENTIFIER,FRAME,WORLDPOSX,WORLDPOSY,WORLDPOSZ
LEFT,18118509207215334066,2940,222.62521362304688,-878.6990356445312,3.3604421615600586
LEFT,18118509207215334066,2944,220.64334106445312,-877.3624877929688,3.3774988651275635
LEFT,18118509207215334066,2945,220.24020385742188,-877.0584106445312,3.3801770210266113
LEFT,18118509207215334066,2947,219.32699584960938,-876.3245239257812,3.3842267990112305
LEFT,18118509207215334066,2948,218.94790649414062,-876.0000610351562,3.3857953548431396
LEFT,18118509207215334066,2950,218.0891571044922,-875.220703125,3.387113571166992
LEFT,18118509207215334066,2951,217.73016357421875,-874.8754272460938,3.387164831161499
LEFT,18118509207215334066,2953,216.91278076171875,-874.0484619140625,3.387012481689453
LEFT,18118509207215334066,2956,215.87554931640625,-872.92822265625,3.3908722400665283
LEFT,18118509207215334066,4684,-652.7069702148438,476.2456359863281,4.450211048126221
LEFT,18118509207215334066,4688,-655.244873046875,482.6243591308594,4.478347301483154
LEFT,18118509207215334066,1195,390.0188293457031,200.6631317138672,2.6944684982299805
LEFT,18118509207215334066,1196,390.1783142089844,200.30824279785156,2.695260524749756
LEFT,18118509207215334066,1198,390.4783935546875,199.58944702148438,2.696532964706421
LEFT,18118509207215334066,1200,390.7954406738281,198.73501586914062,2.698336362838745
LEFT,18118509207215334066,1205,391.41741943359375,196.58937072753906,2.702759027481079
LEFT,18118509207215334066,1227,391.5257873535156,187.0701446533203,2.7291369438171387
LEFT,18118509207215334066,1228,391.4330749511719,186.68161010742188,2.7303266525268555
LEFT,18118509207215334066,1232,390.9549560546875,185.08584594726562,2.7359182834625244
LEFT,18118509207215334066,1234,390.6510009765625,184.27777099609375,2.737623453140259
LEFT,18118509207215334066,1235,390.5108337402344,183.939697265625,2.738525629043579
LEFT,18118509207215334066,1236,390.31640625,183.4967498779297,2.740025281906128
LEFT,18118509207215334066,1237,390.1646423339844,183.16793823242188,2.7410242557525635
LEFT,18118509207215334066,1241,389.62982177734375,182.09228515625,2.743345022201538
LEFT,18118509207215334066,1242,389.4610595703125,181.7730712890625,2.7441394329071045
LEFT,18118509207215334066,1244,389.11260986328125,181.13548278808594,2.745875120162964
LEFT,18118509207215334066,1246,388.8699951171875,180.70458984375,2.7469482421875
LEFT,18118509207215334066,1248,388.6867370605469,180.38442993164062,2.7480366230010986
LEFT,18118509207215334066,1186,388.4019775390625,203.61964416503906,2.6828410625457764
LEFT,18118509207215334066,1190,389.26025390625,202.16555786132812,2.689697742462158
LEFT,18118509207215334066,1175,386.1566467285156,206.7954559326172,2.6759629249572754
LEFT,18118509207215334066,1177,386.70428466796875,206.0782470703125,2.676278591156006
LEFT,18118509207215334066,1180,387.46453857421875,205.02828979492188,2.6786880493164062
LEFT,18118509207215334066,1184,387.9059753417969,204.383544921875,2.681513786315918
LEFT,18118509207215334066,2630,498.1053161621094,-753.9334716796875,3.7618117332458496
LEFT,18118509207215334066,2632,497.192626953125,-754.59228515625,3.7592124938964844
LEFT,18118509207215334066,2636,493.264404296875,-757.396240234375,3.752570152282715
LEFT,18118509207215334066,2639,490.569091796875,-759.2716674804688,3.734339952468872
LEFT,18118509207215334066,2640,489.672607421875,-759.8836669921875,3.7290499210357666
LEFT,18118509207215334066,2643,487.5869140625,-761.2828369140625,3.7179036140441895
LEFT,18118509207215334066,2954,216.5662078857422,-873.6820068359375,3.387815475463867
LEFT,18118509207215334066,2955,216.22073364257812,-873.3085327148438,3.389336585998535
LEFT,18118509207215334066,2957,215.5299530029297,-872.5410766601562,3.391935348510742
LEFT,18118509207215334066,2959,214.72076416015625,-871.6138916015625,3.3950259685516357
LEFT,18118509207215334066,2960,214.37289428710938,-871.2085571289062,3.3961551189422607
LEFT,18118509207215334066,2961,214.02320861816406,-870.798095703125,3.3978958129882812
LEFT,18118509207215334066,2962,213.55392456054688,-870.2432861328125,3.4003541469573975
LEFT,18118509207215334066,2963,213.20028686523438,-869.8222045898438,3.4022326469421387
LEFT,18118509207215334066,2965,212.84327697753906,-869.3954467773438,3.4039406776428223
LEFT,18118509207215334066,2966,212.36215209960938,-868.8196411132812,3.406940221786499
LEFT,18118509207215334066,2609,517.6536865234375,-739.7122192382812,3.9287993907928467
LEFT,18118509207215334066,2612,515.31396484375,-741.4270629882812,3.8953566551208496
LEFT,18118509207215334066,2613,514.3204345703125,-742.154296875,3.884025812149048
LEFT,18118509207215334066,2616,511.0382385253906,-744.5510864257812,3.867607831954956
LEFT,18118509207215334066,2618,508.77001953125,-746.2023315429688,3.853646755218506
LEFT,18118509207215334066,2619,507.80633544921875,-746.9025268554688,3.845057487487793
LEFT,18118509207215334066,6008,-52.528831481933594,629.0458984375,3.112337350845337
LEFT,18118509207215334066,3133,102.4303970336914,-824.3005981445312,3.580249071121216
LEFT,18118509207215334066,3137,100.24674987792969,-824.1290893554688,3.601257085800171
LEFT,18118509207215334066,3139,99.00381469726562,-824.02099609375,3.6127262115478516
LEFT,18118509207215334066,3149,93.75707244873047,-823.48046875,3.647409439086914
LEFT,18118509207215334066,3160,87.91294860839844,-822.7244873046875,3.661186695098877
LEFT,18118509207215334066,3167,84.80313110351562,-822.2722778320312,3.670259714126587
LEFT,18118509207215334066,3171,82.60786437988281,-821.9353637695312,3.6749472618103027
LEFT,18118509207215334066,3180,77.19525146484375,-821.044921875,3.6889865398406982
LEFT,18118509207215334066,3185,74.29240417480469,-820.5347290039062,3.697303533554077
LEFT,18118509207215334066,3186,72.9937515258789,-820.2984008789062,3.700028896331787
LEFT,18118509207215334066,3198,61.12586975097656,-817.88427734375,3.7452712059020996
LEFT,18118509207215334066,3209,50.5805549621582,-815.0870361328125,3.78548526763916
LEFT,18118509207215334066,2969,211.12428283691406,-867.3428955078125,3.4117984771728516
LEFT,18118509207215334066,2971,210.222900390625,-866.2858276367188,3.419198989868164
LEFT,18118509207215334066,2975,208.32203674316406,-864.1094360351562,3.4033029079437256
LEFT,18118509207215334066,2976,207.89541625976562,-863.6326293945312,3.400026559829712
LEFT,18118509207215334066,2977,207.46255493164062,-863.1531982421875,3.3937809467315674
LEFT,18118509207215334066,2978,206.87464904785156,-862.5115966796875,3.385770559310913
LEFT,18118509207215334066,2979,206.42466735839844,-862.0291137695312,3.381737232208252
LEFT,18118509207215334066,2980,205.96981811523438,-861.5476684570312,3.3782434463500977
LEFT,18118509207215334066,2981,205.351318359375,-860.9031372070312,3.372492551803589
LEFT,18118509207215334066,2982,204.8809356689453,-860.4197387695312,3.3660669326782227
LEFT,18118509207215334066,3328,-49.21977615356445,-744.7804565429688,3.605947256088257
LEFT,18118509207215334066,3334,-53.884769439697266,-738.1778564453125,3.5787131786346436
LEFT,18118509207215334066,3336,-55.473182678222656,-735.8159790039062,3.5686869621276855
LEFT,18118509207215334066,3338,-56.14712142944336,-734.797119140625,3.5616555213928223
LEFT,18118509207215334066,3346,-61.81673812866211,-725.7825927734375,3.5298149585723877
LEFT,18118509207215334066,3348,-62.450889587402344,-724.7222290039062,3.5259456634521484
LEFT,18118509207215334066,3349,-63.080650329589844,-723.6576538085938,3.521437406539917
LEFT,18118509207215334066,3350,-63.705162048339844,-722.5895385742188,3.5159804821014404
LEFT,18118509207215334066,3351,-64.32454681396484,-721.5166625976562,3.5093367099761963
LEFT,18118509207215334066,3361,-70.28556060791016,-710.134765625,3.469146251678467
LEFT,18118509207215334066,3363,-71.49246215820312,-707.4879150390625,3.4764819145202637
LEFT,18118509207215334066,2659,472.6652526855469,-770.5451049804688,3.6935927867889404
LEFT,18118509207215334066,2664,468.9553527832031,-772.7132568359375,3.684372663497925
LEFT,18118509207215334066,2666,466.9671936035156,-773.8557739257812,3.6759603023529053
LEFT,18118509207215334066,2668,464.9729309082031,-774.9866333007812,3.6716055870056152
LEFT,18118509207215334066,3819,-21.369075775146484,-161.16879272460938,3.4403092861175537
LEFT,18118509207215334066,3821,-21.210254669189453,-158.3601531982422,3.4295992851257324
LEFT,18118509207215334066,3823,-21.058284759521484,-155.0814971923828,3.429668426513672
LEFT,18118509207215334066,3825,-20.93665313720703,-151.7972869873047,3.432891368865967
LEFT,18118509207215334066,3829,-20.789085388183594,-146.1595001220703,3.423222780227661
LEFT,18118509207215334066,264,-361.5767822265625,688.468505859375,3.0803892612457275
LEFT,18118509207215334066,265,-360.8910827636719,687.9224853515625,3.073984384536743
LEFT,18118509207215334066,296,-337.7579345703125,683.7304077148438,2.8513412475585938
LEFT,18118509207215334066,297,-336.7173156738281,683.9501342773438,2.8419928550720215
LEFT,18118509207215334066,299,-335.148681640625,684.3291015625,2.8323163986206055
LEFT,18118509207215334066,301,-333.5785217285156,684.7750244140625,2.845522880554199
LEFT,18118509207215334066,303,-332.5342102050781,685.1066284179688,2.8582820892333984
LEFT,18118509207215334066,306,-329.9352722167969,686.073974609375,2.8897647857666016
LEFT,18118509207215334066,308,-328.13653564453125,686.8787841796875,2.9115121364593506
LEFT,18118509207215334066,313,-324.6097106933594,688.8075561523438,2.94746732711792
LEFT,18118509207215334066,319,-322.157470703125,690.445068359375,2.9640820026397705
LEFT,18118509207215334066,3830,-20.756221771240234,-144.27847290039062,3.4176580905914307
LEFT,18118509207215334066,3832,-20.721986770629883,-141.45272827148438,3.4080302715301514
LEFT,18118509207215334066,3834,-20.708967208862305,-139.56634521484375,3.4003164768218994
LEFT,18118509207215334066,3836,-20.70496368408203,-136.7343292236328,3.386934518814087
LEFT,18118509207215334066,3838,-20.722986221313477,-133.89805603027344,3.379361867904663
LEFT,18118509207215334066,3841,-20.803510665893555,-129.16050720214844,3.3800649642944336
LEFT,18118509207215334066,4455,-437.04986572265625,253.31509399414062,3.8832921981811523
LEFT,18118509207215334066,4456,-437.8257141113281,253.93185424804688,3.885657787322998
LEFT,18118509207215334066,4459,-440.4579162597656,256.03253173828125,3.8828494548797607
LEFT,18118509207215334066,4464,-443.9798278808594,258.8623962402344,3.8694374561309814
LEFT,18118509207215334066,4466,-445.91717529296875,260.4255065917969,3.8672938346862793
LEFT,18118509207215334066,4468,-447.6009521484375,261.7861633300781,3.8632357120513916
LEFT,18118509207215334066,4469,-448.4511413574219,262.47332763671875,3.8610336780548096
LEFT,18118509207215334066,4478,-456.0301208496094,268.59344482421875,3.843127489089966
LEFT,18118509207215334066,4480,-457.8258972167969,270.0394592285156,3.843956470489502
LEFT,18118509207215334066,4483,-460.5494689941406,272.22833251953125,3.830092191696167
LEFT,18118509207215334066,4487,-464.543212890625,275.4324645996094,3.8160197734832764
LEFT,18118509207215334066,1149,379.6632080078125,213.87478637695312,2.6476263999938965
LEFT,18118509207215334066,0,109.94334411621094,467.951904296875,3.136822462081909
LEFT,18118509207215334066,2,109.94334411621094,467.951904296875,3.1369144916534424
LEFT,18118509207215334066,19,109.94334411621094,467.951904296875,3.1369144916534424
LEFT,18118509207215334066,30,109.94334411621094,467.951904296875,3.1369144916534424
LEFT,18118509207215334066,43,109.94334411621094,467.951904296875,3.1369144916534424
LEFT,18118509207215334066,64,-593.9625854492188,854.7017822265625,3.6721482276916504
LEFT,18118509207215334066,1230,391.2271423339844,185.9285125732422,2.733311891555786
LEFT,18118509207215334066,1233,390.82855224609375,184.73582458496094,2.736907482147217
LEFT,18118509207215334066,1239,389.7949523925781,182.412841796875,2.742689609527588
LEFT,18118509207215334066,1243,389.2885437011719,181.4542999267578,2.7449426651000977
LEFT,18118509207215334066,1926,738.5054931640625,-379.07867431640625,3.2633917331695557
