REFTYPE,SESSION_IDENTIFIER,FRAME,WORLDPOSX,WORLDPOSY,WORLDPOSZ
RIGHT,14023301428294605882,4227,-239.7207489013672,225.08001708984375,3.699864149093628
RIGHT,14023301428294605882,4228,-240.6643524169922,225.86932373046875,3.6958999633789062
RIGHT,14023301428294605882,4229,-241.3723602294922,226.4614715576172,3.6928505897521973
RIGHT,14023301428294605882,4230,-242.0813446044922,227.05462646484375,3.6900386810302734
RIGHT,14023301428294605882,4231,-242.7888641357422,227.64642333984375,3.6874899864196777
RIGHT,14023301428294605882,4232,-243.73480224609375,228.43621826171875,3.6844189167022705
RIGHT,14023301428294605882,4233,-244.4444122314453,229.02676391601562,3.682300567626953
RIGHT,14023301428294605882,4234,-245.1572265625,229.6175537109375,3.680736780166626
RIGHT,14023301428294605882,4235,-246.1077880859375,230.40060424804688,3.6787126064300537
RIGHT,14023301428294605882,4236,-246.82461547851562,230.98646545410156,3.6770646572113037
RIGHT,14023301428294605882,4237,-247.78163146972656,231.76065063476562,3.6748828887939453
RIGHT,14023301428294605882,4423,-387.2040710449219,231.174560546875,3.4428443908691406
RIGHT,14023301428294605882,4421,-386.5088195800781,231.1385498046875,3.43835186958313
RIGHT,14023301428294605882,4424,-387.6708679199219,231.2122039794922,3.4458353519439697
RIGHT,14023301428294605882,4425,-388.0229187011719,231.2484130859375,3.4473767280578613
RIGHT,14023301428294605882,2833,326.1789245605469,-821.7822875976562,3.2031681537628174
RIGHT,14023301428294605882,2834,325.22515869140625,-822.2188110351562,3.199337959289551
RIGHT,14023301428294605882,587,-164.25723266601562,719.0467529296875,2.7111775875091553
RIGHT,14023301428294605882,588,-163.3367919921875,718.170166015625,2.715054512023926
RIGHT,14023301428294605882,768,62.62156295776367,499.7762145996094,3.3445560932159424
RIGHT,14023301428294605882,769,64.26985168457031,498.1927490234375,3.33014178276062
RIGHT,14023301428294605882,770,65.50366973876953,497.0076904296875,3.319662094116211
RIGHT,14023301428294605882,1617,626.1552124023438,-215.6139373779297,2.9193267822265625
RIGHT,14023301428294605882,1619,627.0565795898438,-216.85252380371094,2.9206509590148926
RIGHT,14023301428294605882,7,109.94334411621094,467.951904296875,3.1369144916534424
RIGHT,14023301428294605882,8,109.94334411621094,467.951904296875,3.1369144916534424
RIGHT,14023301428294605882,9,109.94334411621094,467.951904296875,3.1369144916534424
RIGHT,14023301428294605882,10,109.94334411621094,467.951904296875,3.1369144916534424
RIGHT,14023301428294605882,12,109.94334411621094,467.951904296875,3.1369144916534424
RIGHT,14023301428294605882,13,109.94334411621094,467.951904296875,3.1369144916534424
RIGHT,14023301428294605882,17,109.94334411621094,467.951904296875,3.1369144916534424
RIGHT,14023301428294605882,290,-405.4818420410156,763.436279296875,2.739863395690918
RIGHT,14023301428294605882,291,-404.5380859375,761.3338623046875,2.7540605068206787
RIGHT,14023301428294605882,292,-403.2562255859375,758.5223999023438,2.7721641063690186
RIGHT,14023301428294605882,293,-402.27557373046875,756.4057006835938,2.7854785919189453
RIGHT,14023301428294605882,295,-400.2713928222656,752.1652221679688,2.811347246170044
RIGHT,14023301428294605882,297,-399.2535400390625,750.0538940429688,2.8227875232696533
RIGHT,14023301428294605882,299,-396.873291015625,745.219970703125,2.8434677124023438
RIGHT,14023301428294605882,300,-395.85687255859375,743.1990356445312,2.8508646488189697
RIGHT,14023301428294605882,302,-393.51019287109375,738.6275634765625,2.8729021549224854
RIGHT,14023301428294605882,304,-391.5232238769531,734.8609008789062,2.8960795402526855
RIGHT,14023301428294605882,307,-389.24029541015625,730.646240234375,2.920391082763672
RIGHT,14023301428294605882,578,-172.9122772216797,727.3013916015625,2.6752166748046875
RIGHT,14023301428294605882,579,-172.084716796875,726.5038452148438,2.677899122238159
RIGHT,14023301428294605882,580,-171.247314453125,725.7005615234375,2.6803860664367676
RIGHT,14023301428294605882,581,-170.11691284179688,724.6211547851562,2.684718370437622
RIGHT,14023301428294605882,582,-169.25869750976562,723.8034057617188,2.6880786418914795
RIGHT,14023301428294605882,583,-168.105224609375,722.7060546875,2.693547487258911
RIGHT,14023301428294605882,584,-167.23001098632812,721.8740844726562,2.6976797580718994
RIGHT,14023301428294605882,585,-166.3461456298828,721.0335693359375,2.70219349861145
RIGHT,14023301428294605882,586,-165.1555938720703,719.9015502929688,2.7074406147003174
RIGHT,14023301428294605882,1711,704.0746459960938,-337.62188720703125,2.8078806400299072
RIGHT,14023301428294605882,1712,704.6318969726562,-338.6306457519531,2.8103675842285156
